O53695_4	O53695_4
O53707_1	O53707_1
L0T8G4_1	L0T8G4_1
P9WFW3_3	P9WFW3_3
P9WLZ3_2	P9WLZ3_2
P9WG63_3	P9WG63_3
O53380_2	O53380_2
P9WGC9_1	P9WGC9_1
P9WNV1_2	P9WNV1_2
P17763_38	P17763_38
P17763_50	P17763_50
P9WP81_1	P9WP81_1
NA_13	NA_13
NA_13	P9WIL9_1
O05895_1	O05895_1
P9WMB9_1	P9WMB9_1
O06625_3	O06625_3
P14336_23	P14336_23
P14336_55	P14336_55
P09272_4	P09272_4
P9WNK3_20	P9WNK3_20
P9WNK3_20	P9WNK3_5
P9WNK3_20	P9WNK3_12
P9WNK3_20	P9WNI9_2
P0DTC4_3	P0DTC4_3
P9WIR7_30	P9WIR7_30
S5Y3I5_8	S5Y3I5_8
P17763_142	P17763_142
P17763_142	Q9Q6P4_106
P17763_142	P17763_141
P17763_142	P17763_145
P55969_8	P55969_8
P55969_40	P55969_40
Q32ZE1_27	Q32ZE1_27
Q32ZE1_49	Q32ZE1_49
Q32ZE1_58	Q32ZE1_58
A5K3N8_2	A5K3N8_2
P09307_1	P09307_1
P09258_8	P09258_8
Q32ZE1_111	Q32ZE1_111
Q32ZE1_111	Q32ZE1_195
P17763_179	P17763_179
P17763_179	P17763_178
Q32ZE1_130	Q32ZE1_130
Q32ZE1_161	Q32ZE1_161
P21186_1	P21186_1
Q83BJ5_2	Q83BJ5_2
Q69028_11	Q69028_11
Q76R61_17	Q76R61_17
K9N7A1_1	K9N7A1_1
P0DTC2_31	P0DTC2_31
P9WI29_1	P9WI29_1
P09259_75	P09259_75
P09259_107	P09259_107
P0DTC2_63	P0DTC2_63
P0DTC2_63	P0DTC2_15
P0DTC9_29	P0DTC9_29
P0DTC9_29	P0DTC9_15
P0DTC9_29	P0DTC9_103
P0DTC9_29	P0DTC9_169
P0DTC2_105	P0DTC2_105
P0DTC7_2	P0DTC7_2
P0DTC2_196	P0DTC2_196
P0DTC2_225	P0DTC2_225
P0DTC2_235	P0DTC2_235
P0DTC2_235	P0DTC2_211
P0DTC2_235	P0DTC2_470
P0DTD1_30	P0DTD1_30
P0DTD1_41	P0DTD1_41
P0DTD1_53	P0DTD1_53
P0DTD1_67	P0DTD1_67
P0DTC2_267	P0DTC2_267
P0DTC2_267	P0DTC2_117
P0DTC7_6	P0DTC7_6
P0DTC2_341	P0DTC2_341
P0DTC2_341	P0DTC2_453
P0DTD1_121	P0DTD1_121
P0DTD1_136	P0DTD1_136
P09259_130	P09259_130
P09259_130	P09259_122
P09269_10	P09269_10
P0DTC5_60	P0DTC5_60
P0DTC9_140	P0DTC9_140
P0DTC2_437	P0DTC2_437
P0DTC9_158	P0DTC9_158
P0DTC9_158	P0DTC9_144
P0DTC9_158	P0DTC9_141
P0DTC9_158	P0DTC9_110
P0DTC9_158	P0DTC9_145
P0DTD1_183	P0DTD1_183
P0DTD1_209	P0DTD1_209
Q76R62_32	Q76R62_32
Q69027_20	Q69027_20
Q32ZE1_201	Q32ZE1_201
NA_22	NA_22
Q81871_1	Q81871_1
Q81871_2	Q81871_2
P9WQP1_9	P9WQP1_9
P9WQP1_9	P9WQP3_10
P27958_72	P27958_72
Q5NHP7_1	Q5NHP7_1
P27958_86	P27958_86
P27958_86	P27958_599
Q9NJY3_5	Q9NJY3_5
P19993_11	P19993_11
A0A088S0A8_2	A0A088S0A8_2
Q76R61_1	Q76R61_1
P13826_26	P13826_26
P27958_150	P27958_150
P27958_163	P27958_163
P27958_163	P27958_297
P27958_163	P27958_264
P27958_201	P27958_201
P27958_201	P27958_586
P67875_2	P67875_2
P27958_227	P27958_227
P27958_235	P27958_235
P29996_2	P29996_2
Q8I0U8_6	Q8I0U8_6
P0CL66_18	P0CL66_18
P0C767_18	P0C767_18
P0C767_18	P0C767_63
P0C767_18	Q76R61_12
P0C767_18	P0C767_20
P0C767_18	P0C767_47
P0DTC2_6	P0DTC2_6
P0DTC2_6	P0DTC2_387
P0DTC2_6	P0DTC2_301
P0DTC2_6	P0DTC2_5
P0DTC2_6	P0DTC2_205
P9WK61_9	P9WK61_9
P9WK61_9	P9WK61_3
Q7K740_48	Q7K740_48
Q7K740_48	Q7K740_82
Q7K740_48	Q7K740_65
Q7K740_50	Q7K740_50
P27958_357	P27958_357
Q81871_20	Q81871_20
P24301_21	P24301_21
P24301_21	P24301_1
P24301_21	P24301_10
P27958_396	P27958_396
P27958_409	P27958_409
Q9NJY3_9	Q9NJY3_9
Q7KQK5_8	Q7KQK5_8
P27958_504	P27958_504
P27958_504	P27958_570
P27958_519	P27958_519
P09259_6	P09259_6
P09259_6	P09259_64
Q81871_31	Q81871_31
P9WNK7_26	P9WNK7_26
P18096_1	P18096_1
P03452_2	P03452_2
P27958_611	P27958_611
P27958_611	P27958_608
P15917_15	P15917_15
P14075_12	P14075_12
P14075_12	P14075_11
Q69467_16	Q69467_16
Q69467_16	Q69467_13
P03126_1	P03126_1
P04012_13	P04012_13
P03126_33	P03126_33
P03126_33	P03126_6
P03126_33	P03126_13
Q9Q6P4_54	Q9Q6P4_54
Q9Q6P4_80	Q9Q6P4_80
P9WQP3_36	P9WQP3_36
P9WQP3_36	P9WQP1_55
Q6MX07_1	Q6MX07_1
P9WI47_1	P9WI47_1
O53695_3	O53695_3
I6WY86_1	I6WY86_1
P9WPU5_1	P9WPU5_1
P9WHV3_1	P9WHV3_1
Q6MX26_1	Q6MX26_1
P9WQP1_80	P9WQP1_80
P9WQP1_80	P9WQP1_56
P9WQP1_80	P9WQP3_48
O07756_1	O07756_1
P9WHW9_1	P9WHW9_1
P9WG63_4	P9WG63_4
P9WJD7_2	P9WJD7_2
P9WJD7_2	P9WJD7_4
P9WJD7_2	P9WJD7_6
P96821_1	P96821_1
P9WG49_1	P9WG49_1
P9WH21_1	P9WH21_1
P0A4Q1_1	P0A4Q1_1
P95223_1	P95223_1
P14336_24	P14336_24
P14336_56	P14336_56
P14336_88	P14336_88
P27958_646	P27958_646
P09247_9	P09247_9
P9WNK3_21	P9WNK3_21
P9WNK3_21	P9WNI9_9
P9WNK3_21	Q9CD33_1
P9WNK3_21	P9WNK3_13
P9WNK3_21	P9WNI9_11
P9WNK3_21	P9WNK3_7
P9WNK3_21	P9WNI9_4
P0DTC2_11	P0DTC2_11
P17763_101	P17763_101
P17763_101	P17763_103
P17763_101	P17763_59
P17763_101	P17763_29
P17763_101	P17763_39
P17763_101	P17763_80
P17763_101	P17763_314
P17763_101	P17763_72
S5YTI4_4	S5YTI4_4
S5YTI4_4	Q9Q6P4_49
P55969_9	P55969_9
Q32ZE1_2	Q32ZE1_2
Q32ZE1_2	Q32ZE1_101
P04591_11	P04591_11
P04591_11	P04591_1
A0A3S7WRA4_1	A0A3S7WRA4_1
Q32ZE1_59	Q32ZE1_59
P09259_22	P09259_22
P09259_33	P09259_33
Q32ZE1_112	Q32ZE1_112
P17763_212	P17763_212
P17763_244	P17763_244
P17763_340	P17763_340
Q32ZE1_131	Q32ZE1_131
Q32ZE1_162	Q32ZE1_162
Q83CY3_1	Q83CY3_1
Q83DZ3_2	Q83DZ3_2
Q76R61_18	Q76R61_18
K9N5Q8_3	K9N5Q8_3
P0DTC2_32	P0DTC2_32
P0DTC2_80	P0DTC2_80
P0DTC2_106	P0DTC2_106
P0DTC2_106	P0DTC2_372
P0DTC2_106	P0DTC2_288
P0DTC2_106	P0DTC2_342
P0DTC3_5	P0DTC3_5
P0DTC2_149	P0DTC2_149
P0DTD1_21	P0DTD1_21
